id,x_active,x_studio_basis,x_studio_sequence,x_studio_charge_name,x_studio_structure_no,x_studio_charge_group,x_studio_currency_id/id,x_studio_structure_master_id/id,x_studio_misc_charge_line_id/id,x_studio_company_id/id
structure_details_id_861,1,Fixed Per Document,10,BankCharge,1,Charges,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jld,Jinasena_MasterData_Purchase.misc_charge_codes_bankcharge_179,seed_master_data_and_settings.company_jinasena_pvt_ltd
structure_details_id_862,1,Fixed Per Document,10,Clearing,2,Charges,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jld,Jinasena_MasterData_Purchase.misc_charge_codes_clearing_180,seed_master_data_and_settings.company_jinasena_pvt_ltd
structure_details_id_863,1,Fixed Per Document,10,Freight & Ex work,3,Charges,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jld,Jinasena_MasterData_Purchase.misc_charge_codes_freight_ex_work_181,seed_master_data_and_settings.company_jinasena_pvt_ltd
structure_details_id_864,1,Fixed Per Document,10,Insurance,4,Charges,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jld,Jinasena_MasterData_Purchase.misc_charge_codes_insurance_182,seed_master_data_and_settings.company_jinasena_pvt_ltd
structure_details_id_865,1,Fixed Per Document,10,Misc,5,Charges,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jld,Jinasena_MasterData_Purchase.misc_charge_codes_misc_183,seed_master_data_and_settings.company_jinasena_pvt_ltd
structure_details_id_866,1,Fixed Per Document,10,Sup.Bank Charge,6,Charges,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jld,Jinasena_MasterData_Purchase.misc_charge_codes_sup_bank_charge_184,seed_master_data_and_settings.company_jinasena_pvt_ltd
structure_details_id_867,1,Fixed Per Document,10,Pallet Charges,7,Charges,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jld,Jinasena_MasterData_Purchase.misc_charge_codes_pallet_charges_185,seed_master_data_and_settings.company_jinasena_pvt_ltd
structure_details_id_868,1,Fixed Per Document,10,Document Charges,8,Charges,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jld,Jinasena_MasterData_Purchase.misc_charge_codes_document_charges_186,seed_master_data_and_settings.company_jinasena_pvt_ltd
structure_details_id_869,1,Fixed Per Document,10,Other,9,Charges,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jld,Jinasena_MasterData_Purchase.misc_charge_codes_other_187,seed_master_data_and_settings.company_jinasena_pvt_ltd
structure_details_id_870,1,Percentage,10,CID,10,Duty,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jld,Jinasena_MasterData_Purchase.misc_charge_codes_cid,seed_master_data_and_settings.company_jinasena_pvt_ltd
structure_details_id_871,1,Percentage,10,EIC,11,Duty,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jld,Jinasena_MasterData_Purchase.misc_charge_codes_eic,seed_master_data_and_settings.company_jinasena_pvt_ltd
structure_details_id_872,1,Percentage,10,ESC,12,Duty,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jld,Jinasena_MasterData_Purchase.misc_charge_codes_esc,seed_master_data_and_settings.company_jinasena_pvt_ltd
structure_details_id_873,1,Percentage,10,Excise,13,Duty,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jld,Jinasena_MasterData_Purchase.misc_charge_codes_excise,seed_master_data_and_settings.company_jinasena_pvt_ltd
structure_details_id_874,1,Percentage,10,PAL,14,Duty,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jld,Jinasena_MasterData_Purchase.misc_charge_codes_pal,seed_master_data_and_settings.company_jinasena_pvt_ltd
structure_details_id_875,1,Percentage,10,RIDL,15,Duty,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jld,Jinasena_MasterData_Purchase.misc_charge_codes_ridl,seed_master_data_and_settings.company_jinasena_pvt_ltd
structure_details_id_876,1,Percentage,10,SRL,16,Duty,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jld,Jinasena_MasterData_Purchase.misc_charge_codes_srl,seed_master_data_and_settings.company_jinasena_pvt_ltd
structure_details_id_877,1,Percentage,10,Surcharge,17,Duty,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jld,Jinasena_MasterData_Purchase.misc_charge_codes_surcharge,seed_master_data_and_settings.company_jinasena_pvt_ltd
structure_details_id_878,1,Percentage,10,NBT,18,Taxes,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jld,Jinasena_MasterData_Purchase.misc_charge_codes_nbt,seed_master_data_and_settings.company_jinasena_pvt_ltd
structure_details_id_879,1,Percentage,10,NBT-N,19,Taxes,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jld,Jinasena_MasterData_Purchase.misc_charge_codes_nbt_n,seed_master_data_and_settings.company_jinasena_pvt_ltd
structure_details_id_880,1,Percentage,10,VAT-on-Item,20,Taxes,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jld,Jinasena_MasterData_Purchase.misc_charge_codes_vat_on_item,seed_master_data_and_settings.company_jinasena_pvt_ltd
structure_details_id_881,1,Percentage,10,VAT-on-GL,21,Taxes,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jld,Jinasena_MasterData_Purchase.misc_charge_codes_vat_on_gl,seed_master_data_and_settings.company_jinasena_pvt_ltd
structure_details_id_882,1,Percentage,10,SSCL,22,Taxes,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jld,Jinasena_MasterData_Purchase.misc_charge_codes_sscl,seed_master_data_and_settings.company_jinasena_pvt_ltd
