id,x_studio_charge_name,x_studio_charge_group,x_active,x_studio_sequence,x_studio_rfq_charge_header_id/id,x_studio_structure_no,x_studio_basis,x_studio_percent,x_studio_amount,x_studio_company_id/id
import_rfq_charge_li_id_12258,ESC,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5546,12,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12259,Excise,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5547,13,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12260,PAL,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5548,14,Percentage,0.0,450.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12261,RIDL,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5549,15,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12262,SRL,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5550,16,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12263,Surcharge,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5551,17,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12264,NBT,Taxes,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5552,18,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12265,NBT-N,Taxes,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5553,19,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12266,VAT-on-Item,Taxes,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5554,20,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12267,VAT-on-GL,Taxes,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5555,21,Percentage,0.0,972.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12268,SSCL,Taxes,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5556,22,Percentage,0.0,135.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
