id,x_studio_structure_details_line_ids/id,x_studio_structure_master_id/id
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5582,Jinasena_MasterData_Purchase.structure_details_id_842,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5583,Jinasena_MasterData_Purchase.structure_details_id_843,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5584,Jinasena_MasterData_Purchase.structure_details_id_844,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5585,Jinasena_MasterData_Purchase.structure_details_id_845,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5586,Jinasena_MasterData_Purchase.structure_details_id_846,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5587,Jinasena_MasterData_Purchase.structure_details_id_847,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5588,Jinasena_MasterData_Purchase.structure_details_id_848,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5589,Jinasena_MasterData_Purchase.structure_details_id_849,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5590,Jinasena_MasterData_Purchase.structure_details_id_850,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5591,Jinasena_MasterData_Purchase.structure_details_id_851,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5592,Jinasena_MasterData_Purchase.structure_details_id_852,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5593,Jinasena_MasterData_Purchase.structure_details_id_853,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
