id,x_studio_tariff_master_ids/id
Jinasena_MasterData_Purchase.tariff_date_id_1232,Jinasena_MasterData_Purchase.tariffmaster_8414_90_10
Jinasena_MasterData_Purchase.tariff_date_id_1233,Jinasena_MasterData_Purchase.tariffmaster_8421_21_10_1061
Jinasena_MasterData_Purchase.tariff_date_id_1234,Jinasena_MasterData_Purchase.tariffmaster_8421_21_90
Jinasena_MasterData_Purchase.tariff_date_id_1235,Jinasena_MasterData_Purchase.tariffmaster_8421_23_10
Jinasena_MasterData_Purchase.tariff_date_id_1236,Jinasena_MasterData_Purchase.tariffmaster_8421_31_00
Jinasena_MasterData_Purchase.tariff_date_id_1237,Jinasena_MasterData_Purchase.tariffmaster_8421_99_90
Jinasena_MasterData_Purchase.tariff_date_id_1238,Jinasena_MasterData_Purchase.tariffmaster_8424_49_00
Jinasena_MasterData_Purchase.tariff_date_id_1239,Jinasena_MasterData_Purchase.tariffmaster_8424_82_00
Jinasena_MasterData_Purchase.tariff_date_id_1240,Jinasena_MasterData_Purchase.tariffmaster_8424_90_00
Jinasena_MasterData_Purchase.tariff_date_id_1241,Jinasena_MasterData_Purchase.tariffmaster_8432_29_00
Jinasena_MasterData_Purchase.tariff_date_id_1242,Jinasena_MasterData_Purchase.tariffmaster_8432_90_90
Jinasena_MasterData_Purchase.tariff_date_id_1243,Jinasena_MasterData_Purchase.tariffmaster_8433_53_00_1071
Jinasena_MasterData_Purchase.tariff_date_id_1244,Jinasena_MasterData_Purchase.tariffmaster_8436_10_00
Jinasena_MasterData_Purchase.tariff_date_id_1245,Jinasena_MasterData_Purchase.tariffmaster_8436_99_00
Jinasena_MasterData_Purchase.tariff_date_id_1246,Jinasena_MasterData_Purchase.tariffmaster_8466_94_00
Jinasena_MasterData_Purchase.tariff_date_id_1247,Jinasena_MasterData_Purchase.tariffmaster_8467_89_00
Jinasena_MasterData_Purchase.tariff_date_id_1248,Jinasena_MasterData_Purchase.tariffmaster_8481_30_00_1076
Jinasena_MasterData_Purchase.tariff_date_id_1249,Jinasena_MasterData_Purchase.tariffmaster_8481_40_00
